locus_id	operation	esito	I_lem	I_rdg	dI	D2_broken	D2_shortened	D2_conn	dD1	dD3
seg-b2-c8p9-luce-tenebre	-CIT	approvata	0.692	0.462	-0.230	0	2	9	+0.00	-0.25
seg-b3-c40p7-declaratio-dossologia	-CIT	approvata	0.950	0.925	-0.025	1	0	1	+0.00	+0.00
seg-b1-c6p5-obedienza-penitenza	+TEXTsub	approvata	0.333	0.333	+0.000	0	1	13	-0.50	-0.25
seg-b3-c6p4-fomite-peccato	+TEXTsub	approvata	0.692	0.462	-0.230	0	2	13	+0.00	-0.50
seg-b2-c21p10-quattro-passioni	+TEXTsub	approvata	0.692	0.462	-0.230	0	1	3	+0.00	-0.25
seg-b3-c24p16-glossa-humanita	+TEXTsub	respinta	0.717			1	0	1	-0.50	
seg-b3-c8p24-divenuta-altrodio	+CIT	approvata	0.760	0.505	-0.255	1	1	7	+0.00	+0.25
seg-b3-c5p16-altro-dio-participatione	+CIT	approvata	0.544	0.505	-0.039	0	2	5	+0.00	+0.25
seg-b3-c7p4-precisazione-participatione	+CIT	approvata	0.692	0.462	-0.230	0	2	12	+0.00	+0.25
seg-b3-c7p10-precisazione-divinizzazione-gratia	+CIT	da-rivedere	0.692	0.462	-0.230	0	2	10	+0.00	+0.25
